TX-TYPE,Time,Cost
RA_SIGNATURE,10102.2,0.000067827191930376
CERTIFICATE,10072.45,0.000058554438361907
RA_SIGNATURE,14178.05,0.000067906963506213
CERTIFICATE,10152.02,0.000058583717821219
RA_SIGNATURE,14862.12,0.000067945531878942
CERTIFICATE,10603.1,0.000058548010539116
RA_SIGNATURE,10532.58,0.000067944095869518
CERTIFICATE,10107.45,0.00005854677956626
RA_SIGNATURE,14272.66,0.000067959859599021
CERTIFICATE,10855.39,0.000058559264328078
RA_SIGNATURE,10418.54,0.000068035326255216
CERTIFICATE,10151.03,0.000058704885876014
RA_SIGNATURE,14239.61,0.000068185250328672
CERTIFICATE,10933.09,0.00006302475820872
RA_SIGNATURE,14200.56,0.000085495256194889
CERTIFICATE,10239.28,0.000058877167876135
RA_SIGNATURE,10152.58,0.000068460869567799
CERTIFICATE,10156.52,0.00005904396453452
RA_SIGNATURE,14737.52,0.000068470053797601
CERTIFICATE,10773.87,0.00005894083800619
RA_SIGNATURE,9941.63,0.000068328144114741
CERTIFICATE,10561.8,0.000058910483161005
RA_SIGNATURE,14014.22,0.000068250539002284
CERTIFICATE,10439.23,0.00005885124915726
RA_SIGNATURE,10148.77,0.000068232080594358
CERTIFICATE,10404.09,0.000058798077040815
RA_SIGNATURE,14396.02,0.00006820630884621
CERTIFICATE,9905.12,0.00005879047940654
RA_SIGNATURE,14282.15,0.000068360334692355
CERTIFICATE,10706.45,0.00005882773671614
RA_SIGNATURE,10370.5,0.000068242348066563
CERTIFICATE,38534.56,0.00005859258315463
RA_SIGNATURE,11235.76,0.00006812397150192
CERTIFICATE,11534.4,0.000062956987074891
RA_SIGNATURE,10114.4,0.000085279229103256
CERTIFICATE,14340.6,0.000058602201126622
RA_SIGNATURE,22954.73,0.000068359937339205
CERTIFICATE,10647.51,0.00005903218000645
RA_SIGNATURE,9951.58,0.000068556367470402
CERTIFICATE,10431.28,0.000059073719064552
RA_SIGNATURE,14479.28,0.000068496808140153
CERTIFICATE,10459.77,0.000059080959869758
RA_SIGNATURE,10075.54,0.000068501669034492
CERTIFICATE,14509.48,0.000059012681860207
RA_SIGNATURE,10752.94,0.000068449695819633
CERTIFICATE,10771.87,0.000058968457109244
RA_SIGNATURE,9968.54,0.000068408881968312
CERTIFICATE,26198.25,0.000058965112229041
RA_SIGNATURE,10729.34,0.000068521690838376
CERTIFICATE,10329.82,0.000058947108830085
RA_SIGNATURE,10262.76,0.000068312049358698
CERTIFICATE,15043.01,0.000058878735573971
RA_SIGNATURE,10818.8,0.000068294760678531
CERTIFICATE,10129.26,0.000063178160959719
RA_SIGNATURE,10384.59,0.000085552510973146
CERTIFICATE,14120.04,0.000058875705018906
RA_SIGNATURE,9877.69,0.000068247049848663
CERTIFICATE,14462.96,0.000058757964768903
RA_SIGNATURE,10796.81,0.00006813163143498
CERTIFICATE,9968.36,0.000058746133454377
RA_SIGNATURE,13982.4,0.000068124766025625
CERTIFICATE,22400.23,0.000058701012719876
RA_SIGNATURE,10656.68,0.000068308483838175
CERTIFICATE,10109.97,0.00005904355257618
RA_SIGNATURE,13978.93,0.000068758607999868
CERTIFICATE,10204.32,0.000059398042030307
RA_SIGNATURE,14730.85,0.000068841044160114
CERTIFICATE,10842.7,0.000059295283923076
RA_SIGNATURE,9995.62,0.000068860883081502
CERTIFICATE,9958.88,0.000059231278845012
RA_SIGNATURE,14467.87,0.0000686972280117
CERTIFICATE,10010.09,0.000059125665483843
RA_SIGNATURE,10865.15,0.000068532927190629
CERTIFICATE,13821.82,0.000063324560913354
RA_SIGNATURE,10268.23,0.000085708891266406
CERTIFICATE,10768.63,0.000058915168551462
RA_SIGNATURE,14243.29,0.00006829210424466
CERTIFICATE,9910.45,0.000058818819898862
RA_SIGNATURE,13875.83,0.000068316310657971
CERTIFICATE,10755.2,0.000058790538136774
RA_SIGNATURE,10281.84,0.000068147786940681
CERTIFICATE,13882.46,0.000058730602333223
RA_SIGNATURE,10311.18,0.000068157786426393
CERTIFICATE,10192.77,0.000058675051813071
RA_SIGNATURE,11129.49,0.000068135713776714
CERTIFICATE,10641.27,0.000058689088186938
RA_SIGNATURE,26409.24,0.000067899117546138
CERTIFICATE,9948.51,0.000058646577644507
RA_SIGNATURE,14581.83,0.000068168263397673
CERTIFICATE,10017.72,0.000058680950058849
RA_SIGNATURE,10166.51,0.000068152004152548
CERTIFICATE,13808.65,0.000058707301863059
RA_SIGNATURE,10469.5,0.000068102710562229
CERTIFICATE,10151.69,0.000062940928276278
RA_SIGNATURE,13910.76,0.000080910190485717
CERTIFICATE,21884.9,0.00005857232776347
RA_SIGNATURE,14108.46,0.000068049134878494
CERTIFICATE,10794.62,0.000058612781645986
RA_SIGNATURE,14125.83,0.00006797007371343
CERTIFICATE,9808.94,0.000058573170517611
RA_SIGNATURE,10420.41,0.00006788525341161
CERTIFICATE,10207.36,0.000058474249748606
RA_SIGNATURE,14350.13,0.000067837175739711
CERTIFICATE,10076.93,0.000058458919988406
RA_SIGNATURE,14044.4,0.000067888849785657
CERTIFICATE,10142.61,0.00005852335442221
RA_SIGNATURE,9959.88,0.000067835791511181
CERTIFICATE,9957.87,0.000058471889707915
RA_SIGNATURE,13968.79,0.000067794709811097
CERTIFICATE,9854.86,0.000058427421617099
RA_SIGNATURE,14268.28,0.000067760958926688
CERTIFICATE,10545.07,0.000058382427087164
RA_SIGNATURE,9971.5,0.000067717666058085
CERTIFICATE,26151.13,0.000062487685226187
RA_SIGNATURE,10866.84,0.000084691284213699
CERTIFICATE,22593.81,0.000058136716363912
RA_SIGNATURE,14282.19,0.000067574566582113
CERTIFICATE,10904.2,0.000058207631275899
RA_SIGNATURE,10431.43,0.000067579455080424
CERTIFICATE,22208.75,0.00005816711390843
RA_SIGNATURE,26251.81,0.0000674574619587
CERTIFICATE,10683.2,0.000058192273006784
RA_SIGNATURE,10143.8,0.000067514655066348
CERTIFICATE,46253.54,0.000057976463084123
RA_SIGNATURE,26489.69,0.000067271460280098
CERTIFICATE,22433.65,0.00005795859205072
RA_SIGNATURE,26069.02,0.000067249152351537
CERTIFICATE,10090.54,0.000057965911609412
RA_SIGNATURE,10985.78,0.000067250154573849
CERTIFICATE,10264.18,0.000057951842325925
RA_SIGNATURE,26886.66,0.00006714739920888
CERTIFICATE,10510.12,0.00005791743130018
RA_SIGNATURE,14244.79,0.000067208774534103
CERTIFICATE,10280,0.00006212876419974
RA_SIGNATURE,9876.17,0.000084137148023661
CERTIFICATE,10040.49,0.000057875264682515
RA_SIGNATURE,14179.93,0.000067150277186922
CERTIFICATE,10838.95,0.00005785873550037
RA_SIGNATURE,11123.43,0.0000671430171231
CERTIFICATE,9891.48,0.000057842387264375
RA_SIGNATURE,14481.04,0.000067120523915814
CERTIFICATE,10643.77,0.000057802498928895
RA_SIGNATURE,10545.14,0.000067109780507769
CERTIFICATE,10682.61,0.00005780919940691
RA_SIGNATURE,26286.7,0.000067017285662643
CERTIFICATE,10713.6,0.000057772622692015
RA_SIGNATURE,10116.93,0.000067022737525449
CERTIFICATE,10723.3,0.00005774788230365
RA_SIGNATURE,14175.35,0.000067013640136179
