TX-TYPE,Time,Cost
CERTIFICATE,61.77,0.000057418500306232
RA_SIGNATURE,69.18,0.000066631500355368
CERTIFICATE,49.86,0.000057418500306232
RA_SIGNATURE,58.2,0.000066631500355368
CERTIFICATE,85.22,0.000061600500328536
RA_SIGNATURE,98.15,0.000083431500444968
CERTIFICATE,47.33,0.000057400500306136
RA_SIGNATURE,51,0.000066631500355368
CERTIFICATE,51.56,0.000057400500306136
RA_SIGNATURE,57.47,0.000066631500355368
CERTIFICATE,67.19,0.000057400500306136
RA_SIGNATURE,61.33,0.000066631500355368
CERTIFICATE,63.14,0.000057400500306136
RA_SIGNATURE,55.98,0.000066631500355368
CERTIFICATE,96.69,0.000057400500306136
RA_SIGNATURE,77.43,0.000066631500355368
CERTIFICATE,73.6,0.000057400500306136
RA_SIGNATURE,60.54,0.000066631500355368
CERTIFICATE,46.74,0.000057400500306136
RA_SIGNATURE,72.77,0.000066631500355368
CERTIFICATE,63.22,0.000057400500306136
RA_SIGNATURE,55.07,0.000066631500355368
CERTIFICATE,64.67,0.000057400500306136
RA_SIGNATURE,57.45,0.000066631500355368
CERTIFICATE,92.89,0.000061618500328632
RA_SIGNATURE,73.91,0.000083431500444968
CERTIFICATE,55.94,0.000057418500306232
RA_SIGNATURE,55.84,0.000066631500355368
CERTIFICATE,56.43,0.000057418500306232
RA_SIGNATURE,56.22,0.000066631500355368
CERTIFICATE,61.45,0.000057418500306232
RA_SIGNATURE,81.44,0.000066631500355368
CERTIFICATE,77.34,0.000057418500306232
RA_SIGNATURE,67,0.000066631500355368
CERTIFICATE,59.37,0.000057418500306232
RA_SIGNATURE,54.3,0.000066631500355368
CERTIFICATE,56.72,0.000057418500306232
RA_SIGNATURE,59.1,0.000066631500355368
CERTIFICATE,53.9,0.000057418500306232
RA_SIGNATURE,47.9,0.000066631500355368
CERTIFICATE,60.43,0.000057418500306232
RA_SIGNATURE,51.89,0.000066631500355368
CERTIFICATE,63.95,0.000057418500306232
RA_SIGNATURE,67.43,0.000066631500355368
CERTIFICATE,62.43,0.000061618500328632
RA_SIGNATURE,61.29,0.000079231500422568
CERTIFICATE,60.42,0.000057418500306232
RA_SIGNATURE,66.19,0.000066631500355368
CERTIFICATE,81.34,0.000057418500306232
RA_SIGNATURE,58.82,0.000066631500355368
CERTIFICATE,71.69,0.000057418500306232
RA_SIGNATURE,74.66,0.000066631500355368
CERTIFICATE,49.17,0.000057418500306232
RA_SIGNATURE,59.81,0.000066631500355368
CERTIFICATE,75.81,0.000057418500306232
RA_SIGNATURE,86.78,0.000066631500355368
CERTIFICATE,47.77,0.000057418500306232
RA_SIGNATURE,65.67,0.000066631500355368
CERTIFICATE,67.31,0.000057418500306232
RA_SIGNATURE,104.86,0.000066631500355368
CERTIFICATE,61.43,0.000057418500306232
RA_SIGNATURE,52.79,0.000066631500355368
CERTIFICATE,59.37,0.000057418500306232
RA_SIGNATURE,67.04,0.000066631500355368
CERTIFICATE,66.02,0.000061618500328632
RA_SIGNATURE,57.09,0.000083431500444968
CERTIFICATE,67.97,0.000057418500306232
RA_SIGNATURE,57.32,0.000066631500355368
CERTIFICATE,76.85,0.000057418500306232
RA_SIGNATURE,66.88,0.000066631500355368
CERTIFICATE,77.18,0.000057418500306232
RA_SIGNATURE,88.69,0.000066631500355368
CERTIFICATE,54.9,0.000057418500306232
RA_SIGNATURE,56.59,0.000066631500355368
CERTIFICATE,64.07,0.000057418500306232
RA_SIGNATURE,54.31,0.000066631500355368
CERTIFICATE,70.75,0.000057418500306232
RA_SIGNATURE,62.7,0.000066631500355368
CERTIFICATE,55.64,0.000057418500306232
RA_SIGNATURE,59.13,0.000066631500355368
CERTIFICATE,51.15,0.000057418500306232
RA_SIGNATURE,63.94,0.000066631500355368
CERTIFICATE,107.14,0.000057418500306232
RA_SIGNATURE,61.41,0.000066631500355368
CERTIFICATE,55.9,0.000061618500328632
RA_SIGNATURE,53.59,0.000083431500444968
CERTIFICATE,74.3,0.000057418500306232
RA_SIGNATURE,60.85,0.000066631500355368
CERTIFICATE,51.39,0.000057418500306232
RA_SIGNATURE,53,0.000066631500355368
CERTIFICATE,55.42,0.000057418500306232
RA_SIGNATURE,55.46,0.000066631500355368
CERTIFICATE,59.46,0.000057418500306232
RA_SIGNATURE,54.33,0.000066631500355368
CERTIFICATE,60.62,0.000057418500306232
RA_SIGNATURE,83.99,0.000066631500355368
CERTIFICATE,65.63,0.000057418500306232
RA_SIGNATURE,57.37,0.000066631500355368
CERTIFICATE,64.3,0.000057418500306232
RA_SIGNATURE,59.76,0.000066631500355368
CERTIFICATE,77.32,0.000057418500306232
RA_SIGNATURE,58.95,0.000066631500355368
CERTIFICATE,49.97,0.000057418500306232
RA_SIGNATURE,55.83,0.000066631500355368
CERTIFICATE,54.57,0.000061618500328632
RA_SIGNATURE,55.32,0.000083413500444872
CERTIFICATE,63.4,0.000057418500306232
RA_SIGNATURE,91.08,0.000066613500355272
CERTIFICATE,81.61,0.000057418500306232
RA_SIGNATURE,56.72,0.000066613500355272
CERTIFICATE,67.82,0.000057418500306232
RA_SIGNATURE,56,0.000066613500355272
CERTIFICATE,51.53,0.000057418500306232
RA_SIGNATURE,53.13,0.000066613500355272
CERTIFICATE,61.33,0.000057418500306232
RA_SIGNATURE,66.96,0.000066613500355272
CERTIFICATE,60.65,0.000057418500306232
RA_SIGNATURE,53.9,0.000066613500355272
CERTIFICATE,108.2,0.000057418500306232
RA_SIGNATURE,51.42,0.000066613500355272
CERTIFICATE,69.36,0.000057418500306232
RA_SIGNATURE,62.54,0.000066613500355272
CERTIFICATE,64.07,0.000057418500306232
RA_SIGNATURE,55.53,0.000066613500355272
CERTIFICATE,61.56,0.000061600500328536
RA_SIGNATURE,55.22,0.000083431500444968
CERTIFICATE,49.95,0.000057400500306136
RA_SIGNATURE,53.24,0.000066631500355368
CERTIFICATE,53.66,0.000057400500306136
RA_SIGNATURE,62.91,0.000066631500355368
CERTIFICATE,65.93,0.000057400500306136
RA_SIGNATURE,53.24,0.000066631500355368
CERTIFICATE,48.85,0.000057400500306136
RA_SIGNATURE,55.84,0.000066631500355368
CERTIFICATE,52.93,0.000057400500306136
RA_SIGNATURE,51.75,0.000066631500355368
CERTIFICATE,54.17,0.000057400500306136
RA_SIGNATURE,60.58,0.000066631500355368
CERTIFICATE,63.43,0.000057400500306136
RA_SIGNATURE,55.33,0.000066631500355368
CERTIFICATE,58.18,0.000057400500306136
RA_SIGNATURE,62.22,0.000066631500355368
CERTIFICATE,65.93,0.000057400500306136
RA_SIGNATURE,59.68,0.000066631500355368
CERTIFICATE,54.13,0.000061618500328632
RA_SIGNATURE,52.31,0.000083413500444872
CERTIFICATE,60.57,0.000057418500306232
RA_SIGNATURE,52.58,0.000066613500355272
CERTIFICATE,51.47,0.000057418500306232
RA_SIGNATURE,53.13,0.000066613500355272
CERTIFICATE,57.23,0.000057418500306232
RA_SIGNATURE,51.3,0.000066613500355272
CERTIFICATE,51.79,0.000057418500306232
RA_SIGNATURE,57.28,0.000066613500355272
CERTIFICATE,95.23,0.000057418500306232
RA_SIGNATURE,72.62,0.000066613500355272
CERTIFICATE,61.51,0.000057418500306232
RA_SIGNATURE,71.01,0.000066613500355272
CERTIFICATE,49.91,0.000057418500306232
RA_SIGNATURE,65.05,0.000066613500355272
CERTIFICATE,51.48,0.000057418500306232
RA_SIGNATURE,59.81,0.000066613500355272
CERTIFICATE,70.18,0.000057418500306232
RA_SIGNATURE,60.38,0.000066613500355272
CERTIFICATE,53.6,0.000061600500328536
RA_SIGNATURE,63.28,0.000083431500444968
CERTIFICATE,77.22,0.000057400500306136
RA_SIGNATURE,73.39,0.000066631500355368
CERTIFICATE,53.04,0.000057400500306136
RA_SIGNATURE,66.12,0.000066631500355368
CERTIFICATE,54.58,0.000057400500306136
RA_SIGNATURE,53.96,0.000066631500355368
CERTIFICATE,49.04,0.000057400500306136
RA_SIGNATURE,57.89,0.000066631500355368
CERTIFICATE,62.37,0.000057400500306136
RA_SIGNATURE,54.62,0.000066631500355368
CERTIFICATE,44,0.000057400500306136
RA_SIGNATURE,51.02,0.000066631500355368
CERTIFICATE,79.5,0.000057400500306136
RA_SIGNATURE,67.48,0.000066631500355368
CERTIFICATE,63.29,0.000057400500306136
RA_SIGNATURE,57.73,0.000066631500355368
CERTIFICATE,75.49,0.000057400500306136
RA_SIGNATURE,60.4,0.000066631500355368
CERTIFICATE,58.47,0.000061618500328632
RA_SIGNATURE,72.62,0.000083413500444872
CERTIFICATE,57.1,0.000057418500306232
RA_SIGNATURE,107.85,0.000066613500355272
CERTIFICATE,80.75,0.000057418500306232
RA_SIGNATURE,65.34,0.000066613500355272
CERTIFICATE,71.33,0.000057418500306232
RA_SIGNATURE,67.44,0.000066613500355272
CERTIFICATE,68.63,0.000057418500306232
RA_SIGNATURE,58.37,0.000066613500355272
CERTIFICATE,68.03,0.000057418500306232
RA_SIGNATURE,57.08,0.000066613500355272
CERTIFICATE,89.82,0.000057418500306232
RA_SIGNATURE,77.05,0.000066613500355272
CERTIFICATE,80.71,0.000057418500306232
